NN;lex_rus;lang;class;lex_nd;first_cons;cons_type_old;cons_type;CL_SG;final_cons;fin_cons_type;POST_SG;first_vowel;vowel_type;lex_rus_sem;compound;semantics_KK;semantics_KK_detailed;;;;;
4;recnitsa;kryz;4;c'äp' // c'äp;c';anterior;anterior;NA;p;labial;0;;;;0;body;golova i sheja;;;;;
4;recnitsa;bud;4;ʕüla kirpig;ʕ;fricative.post;fricative.post;NA;g;plosive.post;0;;;;1;body;golova i sheja;;;;;
4;recnitsa;hin;3;ninig;n;nasal;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';and;5;lensːib;l;liquid;liquid;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';cham;3;ʟ'esːal;ʟ';liquid;liquid;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';chamg;5;ʟ'esːan;ʟ';liquid;liquid;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';inh;4;esser;NA;NA;NA;NA;;;;e;;;0;body;golova i sheja;;;;;
5;brov';bezht;4;c'ic';c';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';bezhh;4;häq'wä;h;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';gunz;4;c'ɨc';c';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';tsez;4;c'ec';c';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';gin;4;c'ec';c';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';lak;4;itːa-c'ani;NA;NA;NA;NA;;;;i;;|glacnitsa + c'ani|;1;body;golova i sheja;;;;;
5;brov';arch;4;darc'ːan;d;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';rutl;4;ɢač;ɢ;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';tsah;3;ɢaš;ɢ;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';tsahg;3;ɢaš;ɢ;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';tsahc;3;ɢaš;ɢ;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
5;brov';kryz;4;ʕülc'äm;ʕ;fricative.post;fricative.post;NA;m;nasal;0;;;;0;body;golova i sheja;;;;;
5;brov';bud;4;ɢaš;ɢ;plosive.post;plosive.post;NA;š;anterior;0;;;;0;body;golova i sheja;;;;;
5;brov';hin;3;k'ɨǧ;k';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
6;ukho;and;5;hant'ik'a;h;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
6;ukho;cham;4;anna;NA;NA;NA;NA;;;;a;;;0;body;golova i sheja;;;;;
6;ukho;chamg;4;hanč'a;h;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
6;ukho;inh;4;ã1ha;NA;NA;NA;NA;;;;ã1;;;0;body;golova i sheja;;;;;
6;ukho;bezht;4;ä̃ʁä;NA;NA;NA;NA;;;;ä̃;;;0;body;golova i sheja;;;;;
6;ukho;bezhh;4;äʁä;NA;NA;NA;NA;;;;ä;;;0;body;golova i sheja;;;;;
6;ukho;gunz;4;ãʁa;NA;NA;NA;NA;;;;ã;;;0;body;golova i sheja;;;;;
6;ukho;tsez;4;aʜja;NA;NA;NA;NA;;;;a;;;0;body;golova i sheja;;;;;
6;ukho;gin;4;aχχa;NA;NA;NA;NA;;;;a;;;0;body;golova i sheja;;;;;
6;ukho;lak;4;wič'i;w;labial;labial;NA;;;;;;;0;body;golova i sheja;;;;;
6;ukho;arch;4;oj;NA;NA;NA;NA;;;;o;;;0;body;golova i sheja;;;;;
6;ukho;rutl;4;ubur;NA;NA;NA;1;;;;u;;;0;body;golova i sheja;;;;;
6;ukho;tsah;4;k'ɨrɨ;k';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
6;ukho;tsahg;4;k'ɨrɨ // k'ɨre;k';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
6;ukho;tsahc;4;k'ɨrɨ;k';plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
6;ukho;kryz;4;ibɨr;NA;NA;NA;NA;r;liquid;0;i;;;0;body;golova i sheja;;;;;
6;ukho;bud;4;ibir;NA;NA;NA;NA;r;liquid;0;i;;;0;body;golova i sheja;;;;;
6;ukho;hin;3;t'op;t';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;and;4;riži;r;liquid;liquid;1;;;;;;;0;body;golova i sheja;;;;;
7;litso;cham;3;baj;b;labial;labial;1;;;;;;;0;body;golova i sheja;;;;;
7;litso;chamg;3;χunχu;χ;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;inh;4;χ1uχ1;χ;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;bezht;3;mot'o;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;bezhh;3;mot'o;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;gunz;3;mot'o;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;tsez;4;ʜuʜ;ʜ;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;gin;4;χuχ;χ;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;lak;4;lažin;l;liquid;liquid;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;arch;4;ma1mərči;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;rutl;4;xesɨm;x;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
7;litso;tsah;4;aq'ʷa;NA;NA;NA;NA;;;;a;;;0;body;golova i sheja;;;;;
7;litso;tsahg;4;aq'ʷa;NA;NA;NA;NA;;;;a;;;0;body;golova i sheja;;;;;
7;litso;tsahc;3;aq'ʷa;NA;NA;NA;NA;;;;a;;;0;body;golova i sheja;;;;;
7;litso;kryz;3;iǯin;NA;NA;NA;NA;n;nasal;0;i;;;0;body;golova i sheja;;;;;
7;litso;bud;3;iǯin;NA;NA;NA;NA;n;nasal;0;i;;;0;body;golova i sheja;;;;;
7;litso;hin;3;iǯi;NA;NA;NA;NA;;;;i;;;0;body;golova i sheja;;;;;
8;scheka;and;5;gʷorzu;gʷ;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
8;scheka;cham;5;č'elʷ;č';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
8;scheka;chamg;5;č'ilu;č';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
8;scheka;inh;4;χ1uχ1;χ;fricative.post;fricative.post;NA;;;;;;=litso;0;body;golova i sheja;;;;;
8;scheka;bezht;3;gugaro;g;plosive.post;plosive.post;NA;;;;;;vypukloct' scheki;0;body;golova i sheja;;;;;
8;scheka;bezhh;3;gogaro;g;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
8;scheka;gunz;3;gogor;g;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
8;scheka;tsez;4;ʜuʜ;ʜ;fricative.post;fricative.post;NA;;;;;;=litso;0;body;golova i sheja;;;;;
8;scheka;gin;4;χuχ;χ;fricative.post;fricative.post;NA;;;;;;=litso;0;body;golova i sheja;;;;;
8;scheka;lak;4;č'aw;č';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
8;scheka;arch;4;eχ1;NA;NA;NA;NA;;;;e;;;0;body;golova i sheja;;;;;
8;scheka;rutl;3;dan;d;anterior;anterior;1;;;;;;;0;body;golova i sheja;;;;;
8;scheka;tsah;3;dan;d;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
8;scheka;tsahg;3;dan;d;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
8;scheka;tsahc;3;dan;d;anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
8;scheka;kryz;3;k'ʷat'in;k'ʷ;plosive.post;plosive.post;NA;n;nasal;0;;;;0;body;golova i sheja;;;;;
8;scheka;bud;3;k'ut'un;k';plosive.post;plosive.post;NA;n;nasal;0;;;;0;body;golova i sheja;;;;;
8;scheka;hin;3;t'uk'un;t';anterior;anterior;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;and;5;mahar;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;cham;3;maj;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;chamg;3;mara;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;inh;3;ma1ne;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;bezht;3;märö;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;bezhh;3;märö;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;gunz;3;maru;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;tsez;3;ma1li;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;gin;3;malu;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;lak;3;maj;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;arch;3;muč;m;nasal;labial;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;rutl;3;xexy;x;fricative.post;fricative.post;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;tsah;4;quš;q;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;tsahg;3;qow;q;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;tsahc;4;quš;q;plosive.post;plosive.post;NA;;;;;;;0;body;golova i sheja;;;;;
9;noc;kryz;3;miʔěl;m;nasal;labial;NA;l;liquid;0;;;;0;body;golova i sheja;;;;;
